,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
46,Sam Smith,My Oasis (feat. Burna Boy),0.691,0.474,10,-8.742,0,0.0583,0.569,0.000626,0.099,0.381,143.783,audio_features,2KoHxhRyWxJzA0VafWd5Nk,spotify:track:2KoHxhRyWxJzA0VafWd5Nk,https://api.spotify.com/v1/tracks/2KoHxhRyWxJzA0VafWd5Nk,https://api.spotify.com/v1/audio-analysis/2KoHxhRyWxJzA0VafWd5Nk,179917,4
47,Dan + Shay,I Should Probably Go To Bed,0.721,0.277,1,-7.128,1,0.0365,0.634,0,0.112,0.309,131.935,audio_features,5ovVcYo2MvjVydFwFyaaqy,spotify:track:5ovVcYo2MvjVydFwFyaaqy,https://api.spotify.com/v1/tracks/5ovVcYo2MvjVydFwFyaaqy,https://api.spotify.com/v1/audio-analysis/5ovVcYo2MvjVydFwFyaaqy,171827,4
48,Jak Lizard,Cauliflower,0.503,0.682,8,-3.989,1,0.201,0.384,0,0.0586,0.601,74.558,audio_features,4ol4l5ZzbFKbKDf4PYDFkN,spotify:track:4ol4l5ZzbFKbKDf4PYDFkN,https://api.spotify.com/v1/tracks/4ol4l5ZzbFKbKDf4PYDFkN,https://api.spotify.com/v1/audio-analysis/4ol4l5ZzbFKbKDf4PYDFkN,138587,4
49,Anson Seabra,Trying My Best,0.561,0.0587,5,-17.819,1,0.0762,0.95,0,0.0828,0.342,143.027,audio_features,06qUEhhx6jKQmhj2qAkn4H,spotify:track:06qUEhhx6jKQmhj2qAkn4H,https://api.spotify.com/v1/tracks/06qUEhhx6jKQmhj2qAkn4H,https://api.spotify.com/v1/audio-analysis/06qUEhhx6jKQmhj2qAkn4H,222468,1
50,Martin Garrix,Scared to Be Lonely,0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,audio_features,3ebXMykcMXOcLeJ9xZ17XH,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,https://api.spotify.com/v1/tracks/3ebXMykcMXOcLeJ9xZ17XH,https://api.spotify.com/v1/audio-analysis/3ebXMykcMXOcLeJ9xZ17XH,220883,4
51,ZAYN,Better,0.637,0.418,2,-7.137,1,0.301,0.353,0,0.131,0.0807,84.295,audio_features,1dLXLETYiZohIZWnse4ypG,spotify:track:1dLXLETYiZohIZWnse4ypG,https://api.spotify.com/v1/tracks/1dLXLETYiZohIZWnse4ypG,https://api.spotify.com/v1/audio-analysis/1dLXLETYiZohIZWnse4ypG,174517,4
52,Justin Bieber,Holy (feat. Chance The Rapper),0.673,0.704,6,-8.056,1,0.36,0.196,0,0.0898,0.372,86.919,audio_features,5u1n1kITHCxxp8twBcZxWy,spotify:track:5u1n1kITHCxxp8twBcZxWy,https://api.spotify.com/v1/tracks/5u1n1kITHCxxp8twBcZxWy,https://api.spotify.com/v1/audio-analysis/5u1n1kITHCxxp8twBcZxWy,212093,4
53,Adele,Send My Love (To Your New Lover),0.69,0.524,6,-8.39,0,0.103,0.0415,3.16e-06,0.17,0.562,164.023,audio_features,4BHzQ9C00ceJxfG16AlNWb,spotify:track:4BHzQ9C00ceJxfG16AlNWb,https://api.spotify.com/v1/tracks/4BHzQ9C00ceJxfG16AlNWb,https://api.spotify.com/v1/audio-analysis/4BHzQ9C00ceJxfG16AlNWb,223080,4
54,Lawrence,Freckles (Live in LA),0.627,0.608,2,-6.152,1,0.304,0.173,0,0.773,0.561,141.013,audio_features,1JNg2CWx4moNWOHDx8f5zM,spotify:track:1JNg2CWx4moNWOHDx8f5zM,https://api.spotify.com/v1/tracks/1JNg2CWx4moNWOHDx8f5zM,https://api.spotify.com/v1/audio-analysis/1JNg2CWx4moNWOHDx8f5zM,418780,4
55,Shawn Mendes,Wonder,0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,audio_features,5KCbr5ndeby4y4ggthdiAb,spotify:track:5KCbr5ndeby4y4ggthdiAb,https://api.spotify.com/v1/tracks/5KCbr5ndeby4y4ggthdiAb,https://api.spotify.com/v1/audio-analysis/5KCbr5ndeby4y4ggthdiAb,172693,4
